iter	Passed	Remaining
0	1	99
1	1	86
2	2	85
3	3	79
4	4	80
5	5	81
6	6	81
7	7	81
8	8	81
9	8	79
10	9	79
11	10	76
12	11	73
13	11	71
14	12	69
15	12	67
16	13	66
17	14	64
18	14	62
19	15	61
20	16	60
21	16	59
22	17	57
23	17	56
24	18	55
25	19	54
26	19	53
27	20	52
28	20	51
29	21	50
30	22	49
31	22	48
32	23	47
33	23	46
34	24	45
35	25	44
36	25	43
37	26	43
38	27	42
39	28	42
40	28	41
41	29	40
42	29	39
43	30	38
44	31	38
45	32	37
46	33	37
47	33	36
48	34	35
49	35	35
50	36	34
51	36	34
52	37	33
53	38	32
54	38	31
55	39	31
56	40	30
57	41	29
58	42	29
59	43	28
60	43	28
61	44	27
62	45	26
63	46	26
64	47	25
65	48	24
66	49	24
67	49	23
68	50	22
69	51	22
70	52	21
71	53	20
72	54	20
73	55	19
74	56	18
75	56	17
76	57	17
77	58	16
78	59	15
79	60	15
80	61	14
81	62	13
82	63	12
83	64	12
84	65	11
85	66	10
86	67	10
87	67	9
88	68	8
89	69	7
90	70	6
91	71	6
92	72	5
93	73	4
94	73	3
95	74	3
96	75	2
97	76	1
98	77	0
99	78	0
